ID,text,target,stance,sarcasm,sentiment
1, عشان يلمع صورته ويعنني تمكين المرأة ويصير ترند والحكومة هي اكثر من تقمع المرأة اخر شيء كل الي فرحانين بالقرار ودارسين قانون متوظفين كاشير في مول راتبهم 3 الاف,Women empowerment,Against,No,Negative
3, روح حلل محد يم تطعيم كورونا شف الحرم البارح مليونين بدون شرط تحصينوجه مبتسم مع عرق,Covid Vaccine,,Yes,Neutral
4,هذا ما يُعرّف بـ'فوبيا المرأة المُتمكنة' آفة فكرية تغزو عقول بعض الرجال حيث إنه إذ رأى تمكين للمرأة حتى ولو كان بسيطًا فهو من المرجح بالطبع ربطه للموضوع مع - النسوية - وأتهام الفكرة بأكملها بالشيطنة والخبث . ,Women empowerment,Favor,Yes,Negative
6,#LEAP22  مؤتمر يجمع اشهر وابرز المؤثرين في المجال التقني  ومن خلاله السعودية تستعرض قدرتها في التحول الرقمي اللي تشهدها كافة قطاعاتها حسنا اليدلون بشرة متوسط ​​إلى فاتح ,Digital Transformation,Favor,No,Positive
7,خصوصية البيانات وحمايتها في المنظمة مطلب ولكن لا ينبغي أن تكون ذريعة لسد الطريق امام التحول التقني لأننا نجهل كيف نحمي بياناتنا في هذا الفضاء التقني. بل أن عملية التحول الرقمي ليست خيارًا نقبله أو نرفضه ونحن قطاع يتسم بالشفافية والمشاركة مع المجتمع وأصحاب المصلحة.,Digital Transformation,Favor,No,Neutral
8, فخورين بنساء الوطن 🇸🇦 وكلنا فخر بتقدم تمكين المرأه يوم بعد يوم ؛ الله يديم حكومتنا ؛ ويحفظ بلادنا ويعزها قلب أبيض..,Women empowerment,Favor,No,Positive
9, ههههههههههههههه ماعليك زمن تمكين المرأة ماراح يسوون لك شي وجه بدموع الفرح,Women empowerment,,Yes,Neutral
10,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Digital Transformation,Favor,No,Negative
11,   وش فائدة اللقاح بما انه تم تطعيم  ٥٠ بالميه من السكان والاصابات كل يوم تزيد  وش الفايده ؟؟؟  يقول مايمنع الاصابه لكن يخففها  كورونا في الاصل الشفاء منها وصل ٩٩ بالميه  يعني اللقاح يعطينا ١٠٠ بالميه ؟؟  كلنا نسمع ونعرف ناس انصابوا وهم اخذين اللقاح ونقلوا العدوى لمجموعه,Covid Vaccine,Against,No,Negative
12,من يتمعن فيما يجري اليوم في الأوساط العلمية البحثية على جميع الأصعدة من اهتمام مستميت بالتحول من الواقع إلى الافتراض -التحول الرقمي الإلكتروني- وإحلال الآلات وتقنيات الذكاء الصناعي  سيعلم ما هو كورونا  ولماذا تم غلق العالم انتقائياً  وتعطيل الاقتصاد..الخ   ,Digital Transformation,Against,No,Negative
