text,stance
#خذ_الخطوه_بلغ_عن_اضرار_اللقاح #لا_للتطعيم_الاجباري185 #لا_للتطعيم_الاجباري #الجرعة_التنشيطية #الجرعة_الثالثة  لكل من تضرر شفاكم الله وعافاكم  ومن فقد جبر الله مصابكم وغفر لميتكم    ارجو إيقاف الاجباري ياملكنا أيدي مطوية,Against
   يا اخوي تطعيمات الاطفال فيها اثار سلبيه واجد ترى مو قرأن بس جهلا فينا كنا نصدقهم ابحث بقوقل اما تطعيم كورونا تطعيم جديد وليس عليه دراسات انتوا التجارب للاسف وقاعد يرصدون الاثار السلبيه منكم اكثر من جذي ماتشوفون وجه البدر,Against
#تطعيم_كورونا امي تقول يجيب عُقم   تتوقعون الموضوع يحتاج رضا الوالدين ؟ ,nan
شفيهم بعض الدكاترة زعلانين عشان زحمة المباراة ؟ مو على اساس بعد تطعيم ٧٠٪ خلاص مناعة مجتمعية وكل شي طبيعي؟ يعني تناقضون كلامكم و كل شوي فلم وبعدين لما يجذبونكم و ما يصدقونكم تزعلون و تقولون هذيل رجعيين ما يصدقون العلم!   #تطعيم_كورونا,Against
   العكس صحيح .. لم نسمع الا ما ندر من اخذ جرعتي تطعيم قد تدهورت صحته بسبب كورونا .. وأنا اعرف منهم كثر وكبار السن ايضاً .. لولا رعاية الله وجرعتي التطعيم لكنا قد افتقدناهم .,Favor
  اوللاااه على الكذبوجه مبتسم بعيون مبتسمة الكيان الصهيوني اكثر دولة في العالم فيها نسبة تطعيم يمكن ٩٩٪ وهي من اكثر الدول اصابة بمتحور كورونا الجديد.. على فكرة المتحور الجديد خفيف واقل بكثير من المتحورات السابقة.. يعني لا يخرعونكم باسم متحور,Against
 نفس الموضوع في بيتنا اختي تأخر موعد تطعيمها والعائلة كلها ماخذ تطعيم    ياتها كورونا قوية واحنى مافينا اعراض كللللللللش اللهم لك الحمد,Favor
 كل المرضى اللي ادخلتهم حاليا منهم صغار بالسن بالثلاثينات و حالتهم حرجه   وعند سؤالهم عن التطعيم كلهم اجابتهم واحده:  لافتة توقف للاسف ما تطعمنا وتاخرنالافتة توقف  ما زلنا نكرر تطعموا قبل فوات الاوان خانة الاختيار مع الاختيار️   #كوفيد_19 #تطعيم_كورونا ,Favor
 #الجرعه_لاولى مانفعت طلعوا #الجرعه_الثانيه وهم ما نفعت طيب ليش مستمرين ب #التلقيح ب #االجرعه_الثالثه يا ناس خافوا الله احترموا عقولنا كفرتونا بالطب بسبب اصراركم على التطعيم فقدتوا المصداقيه  عيب وحرام اللي تسوونه اتقوا الله #الجرعة_التنشيطية #ارفضوا_التلقيح #لا_للتطعيم_الاجباري,Against
 و دام الطب قائم على الفائدة تفوق الخطر ليش ما توقفون تطعيم الأطفال و قد ثبت أن كورونا لا تؤذيهم بينما التطعيم احتمال أضعاف إن يؤذي صحتهموجه بحاجب مرتفع,Against
  وش التطعيم الى يسمح للمرض بدخول جسمك ؟؟  عمرك سمعت عن تطعيم تأخذه ويجيك المرض .. اذا سمعت هات مثال  كورونا كلها عبارة عن حرب بيلوجية بين الدول العظمى .. وكل بلد عدلت على جينات الفايروس هي الوحيدة التي تملك العلاج والتطعيم منه .. أخبرني عن عدد الوفيات في الصين .,Against
 ترا بالنهايه يوم دخلت المطار حقهم محد طلبه مني ابددااا ولا احد جاب طاري بس كان معي تحليل كورونا ورقة تطعيم بس بالاخير وريتهم التطعيم بس ومشوني,nan
 تطعيم كورونا اعوذ بالله ما افكر اتطعم ولا اخلي اعيالي يتطعمون من كثر ما شفت مواقع يحذرون منه ..الله سبحانه خلقنا وعندنا المناعه الطبيعيه ليش نبلي عمرنا بشي ماندري شنو البلاوي اللي وراه,Against
  انا اتوقع كل هذي الاعراض المذكوره على انها اعراض الفايروس هيهي   بالحقيقه هي الاعراض والامراض اللي ظهرت او ستظهر بسبب تطعيم لقاحات كورونا الحاليه  فجعلوا هذي النتيجه هي اعراض (مرضهم ووباءهم) الجديد المزعوم,Against
الحمدلله اليوم خذيت الجرعه الثانيه أيدي مطويةلون البشرة الفاتحبدلة القلب️ 🇰🇼  طعمو عشان تشوفون تذكره صجيه بدال كرت التطعيم وجه بدموع الفرح #تطعيم_كورونا  شكراً  أيدي مطويةلون البشرة الفاتح🇰🇼 ,Favor
 تم اخذا القاح الاولي والثانيه الحمدلله لم يحصل ليه اي شي ولا اعراض مع انني خالطت كم شخص مصاب بكورونا بفضل الله ثم اخذا  تطعيم لقاح كورونا لم تنتقل لي العدوى  انصح لمن لم يتطعم اخذا اللقاح في اسرع وقت,Favor
 التطعيم مسلسل طويل ليس له نهاية الأمر كانة تجارة  آخر شي أننا نحتاج تطعيم سنوي عن كورونا !!!,Against
لماذا كنا نحذر من تطعيم كورونا الإجباري  ليش لانه مضر مع احتمال وفاة او اعراض جانبية شديدة بل لانه بوابة لجرعات وتطعيمات أخرى لاتقف مابعد لقاح كورونا والورم الحليمي تفضلو الهبد الجديد  لقاح((غير متلاشية))الخربوطي ,Against
يكفي سنتين  راحت مع رعب اللي اسمه مرض كورونا  نبي نرجع طبيعين لا للقاح لا للحظر الجزئي والكلي  ممتاز نعم للسفر بدون حجر ولا مسحة ولا تطعيم ممتاز #الحظر_الكلي,Against
 مصخره بكل لغات العالم يبون بأي طريقه يجبرون الناس وأولادهم على شي تطعيم فاشل لا يحمي ولا شي ولايعيد الناس لما قبل كورونا . وتطعيمه ورا تطعيمه والحسابه بتحسب والشركات العالميه مستفيده على ظهورنا من مرض نسبة الشفاء منه ٩٨٪ . حسبنا الله ونعم الوكيل .,Against
  بس امورهم طيبه ما في اغلاق ولا حظر... التطعيم اقل شي يطلعك من إجراءات الحظر و الضغط على المستشفيات  لان حتى في حال من تلقى تطعيم و إصابة كورونا يكون خفيف... عكسنا غلق و الاقتصاد ينهار يوم بعد يوم و المستشفيات شبه ممتلئة,Against
    بسألك سؤال بو عمر وجاوب بصراحه التطعيمات السابقه صح تطعمناها وطعمنا عيالنا هل عمرك سمعت بواحده فيه طاعون او واحد فيه كوليرا ؟! لا لان التطعيمات فعلا حصنت اما تطعيم كورونا تطعم وتصاب وتنقل المرض يعني ماحصن من المرض,Against
وزير الصحة ينفي إلزامية تلقي الجرعة الرابعة من تطعيم كورونا  ,nan
   انا عندي اصدقاء حاشهم كورونا بدون تطعيم وادخلو عنايه مركزه !!واصدقاء حاشهم كورونا مع تطعيم واعراض ضعيفة!!!,Favor
 اي غصب حالك حال خلق لله   بعدين تطعيم ماراح يضرك يا محور الكون طعمي   موب جايك الا العافية هو شرط اساسي لئن كورونا فايرس ممكن يجيك مرة ثانية وثالثة محد يقدر يقول ١٠٠٪ مناعتك !! سواءً با اصابة  او بدون اصابة وطعمتي الامور سهالات لاحد يعقدها !.,Favor
الحمدلله كل العائله اخذت تطعيم وبإذن الله نجتمع و نعيد مع بعض ماذا عن متابعي الإشاعات  #كورونا ,Favor
أمريكا تنتهي من كورونا بعد تطعيم شعبها  والهند تدفع ثمن التأخر في التطعيم غاليا. حفظنا الله بحفظهالخزامى ,Favor
